movieId,values,metadata
96488,"[-0.05862277001142502, 0.03541027382016182, -0.01840638928115368, 0.0386047400534153, 0.006728881038725376, 0.04800359904766083, 0.015316220931708813, 0.005003844853490591, -0.05887513607740402, 0.03603239357471466, -0.02369861677289009, -0.0962292030453682, -0.03678445890545845, 0.0806364119052887, 0.10304565727710724, -0.052643124014139175, -0.04496130719780922, 0.03066663071513176, -0.026864711195230484, -0.04635476693511009, -0.0004535331390798092, -0.007105619180947542, -0.05140072852373123, -0.015366732142865658, -0.06510832160711288, -0.02718682400882244, 0.002385306404903531, 0.007355614565312862, -0.021632997319102287, -0.0033253319561481476, 0.04584675282239914, 0.031957127153873444]","{'movie_id': 96488, 'title': 'Searching for Sugar Man (2012)', 'imdb_id': 2125608, 'genres': 'Documentary'}"
96563,"[-0.0956089198589325, 0.015760041773319244, 0.05246967077255249, 0.006144232116639614, -0.04491063207387924, 0.028986098244786263, -0.034615661948919296, 0.025174928829073906, -0.03825528547167778, -0.07508005946874619, 0.0658167377114296, -0.0016515710158273578, 0.026302777230739594, 0.08390338718891144, -0.04611040651798248, 0.018503224477171898, -0.06844036281108856, -0.03854837268590927, -0.058230362832546234, -0.029187452048063278, -0.00342766591347754, 0.08909747004508972, -0.010868573561310768, 0.06464804708957672, -0.06847899407148361, 0.017689261585474014, 0.04366563633084297, 0.07556647062301636, -0.03021201118826866, -0.009845033288002014, 0.0010849902173504233, -0.024669967591762543]","{'movie_id': 96563, 'title': 'Paradise Lost 3: Purgatory (2011)', 'imdb_id': 2028530, 'genres': 'Documentary'}"
96815,"[0.033236052840948105, -0.0003561295452527702, 0.049439746886491776, -0.021171150729060173, 0.06441554427146912, -0.00407876493409276, 0.030392376706004143, 0.03782007843255997, 0.009106799960136414, 0.03898002207279205, 0.005346366669982672, 0.062425337731838226, -0.05260529741644859, -0.07312154024839401, 0.06171945109963417, 0.01693459413945675, -0.033505748957395554, 0.005220075137913227, 0.024666957557201385, 0.04632703214883804, -0.002183522330597043, 0.02631053887307644, 0.07055091112852097, -0.0013943030498921871, -0.012325909920036793, 0.013137351721525192, 0.024256888777017593, -0.03591383993625641, -0.042646508663892746, 0.057461995631456375, -0.07232373207807541, -0.05956918001174927]","{'movie_id': 96815, 'title': 'V/H/S (2012)', 'imdb_id': 2105044, 'genres': 'Horror|Thriller'}"
96829,"[0.018844224512577057, -0.008936993777751923, -0.02281780168414116, 0.03085155598819256, 0.036201439797878265, 0.10475094616413116, 0.031304288655519485, -0.046018414199352264, -0.07917960733175278, -0.0809887945652008, 0.01703183352947235, 0.052609801292419434, 0.074106864631176, 0.001654203049838543, 0.037316612899303436, 0.06724300980567932, 0.08766878396272659, 0.019970647990703583, -0.07478578388690948, 0.010189647786319256, 0.013228279538452625, 0.056209150701761246, -0.025441747158765793, -0.09260149300098419, 0.11012393981218338, 0.013439399190247059, -0.0008355818572454154, -0.022984743118286133, -0.0005022367695346475, 0.08317549526691437, -0.01116280909627676, -0.0010195630602538586]","{'movie_id': 96829, 'title': 'Hunt, The (Jagten) (2012)', 'imdb_id': 2106476, 'genres': 'Drama'}"
96832,"[-0.04252341389656067, -0.0032235688995569944, 0.0065156156197190285, 0.012620063498616219, 0.07878176122903824, -0.04142088070511818, -0.013691362924873829, -0.03942897170782089, 0.04904385656118393, 0.030948087573051453, -0.09327312558889389, -0.09554459154605865, 0.050633158534765244, -0.02831907570362091, -0.02485094591975212, -0.09385405480861664, -0.05752452462911606, -0.02317063882946968, -0.01849447563290596, -0.02271175943315029, 0.050640907138586044, -0.032011501491069794, 0.03641496226191521, -0.08839242160320282, -0.0599883608520031, 0.009512008167803288, -0.032495077699422836, -0.08926180005073547, -0.023879673331975937, -0.008157288655638695, 0.025132719427347183, -0.01107546966522932]","{'movie_id': 96832, 'title': 'Holy Motors (2012)', 'imdb_id': 2076220, 'genres': 'Drama|Fantasy|Musical|Mystery|Sci-Fi'}"
97024,"[-0.005010494962334633, 0.09326686710119247, -0.11011964827775955, 0.06295473873615265, -0.041274674236774445, -0.022259360179305077, 0.05734191834926605, -0.05824851617217064, 0.016226109117269516, -0.06946785748004913, -0.022968068718910217, -0.03425484150648117, 0.004073179792612791, -0.03814917430281639, -0.045528970658779144, 0.05061198025941849, -0.08555850386619568, -0.01414306927472353, -0.03256603330373764, 0.010597852058708668, -0.02815861627459526, -0.05817732587456703, -0.04681018739938736, -0.024319807067513466, 0.06858287751674652, 0.05689024552702904, 0.0402139388024807, -0.10472941398620605, 0.03463868051767349, 0.007126613985747099, 0.06759599596261978, -0.0066901990212500095]","{'movie_id': 97024, 'title': ""Rust and Bone (De rouille et d'os) (2012)"", 'imdb_id': 2053425, 'genres': 'Drama|Romance'}"
97230,"[-0.08469503372907639, 0.017755700275301933, 0.07675103843212128, 0.05000711604952812, 0.05515686050057411, -0.03734523430466652, -0.03588184714317322, -0.05385894700884819, 0.025442685931921005, 0.0012519600568339229, -0.007649147883057594, 0.05594579130411148, -0.060962360352277756, -0.061189908534288406, -0.00539536913856864, 0.034646350890398026, 0.031345825642347336, 0.018311772495508194, -0.02202361263334751, 0.03601539880037308, -0.05127955228090286, 0.07100926339626312, -0.00436302600428462, -0.022914040833711624, 0.03754551336169243, -0.08067149668931961, -0.0025038402527570724, 0.017361052334308624, 0.006525800097733736, -0.03515748307108879, -0.037880267947912216, 0.056597281247377396]","{'movie_id': 97230, 'title': 'Side by Side (2012)', 'imdb_id': 2014338, 'genres': 'Documentary'}"
97701,"[0.006181742995977402, 0.09840516000986099, -0.02032775804400444, -0.017893260344862938, -0.047213487327098846, 0.08744199573993683, 0.011025680229067802, -0.006515663117170334, 0.04992625489830971, -0.06788815557956696, 0.006931755691766739, -0.02243434078991413, 0.059931401163339615, -0.0674075037240982, 0.009530077688395977, 0.004845386371016502, 0.038858067244291306, 0.07896923273801804, -0.0939352810382843, -0.056013159453868866, -0.04656919091939926, -0.03288907930254936, 0.019626518711447716, -0.049873847514390945, 0.02388209104537964, 0.011283825151622295, 0.005193266086280346, 0.058882325887680054, 0.0710609182715416, -0.052300550043582916, 0.08996755629777908, 0.09209879487752914]","{'movie_id': 97701, 'title': 'Paranormal Activity 4 (2012)', 'imdb_id': 2109184, 'genres': 'Horror|IMAX'}"
97904,"[0.03641563653945923, -0.028348851948976517, 0.05700087919831276, -0.09333840757608414, -0.09017302840948105, -0.020920800045132637, -0.03275129944086075, -0.04266888648271561, 0.07582330703735352, -0.00246624369174242, 0.0961928516626358, -0.08212202042341232, 0.008468694984912872, -0.0030938738491386175, 0.03152391314506531, -0.05761856585741043, -0.03505914285778999, -0.04169733077287674, -0.048568494617938995, 0.02679535187780857, -0.0025146587286144495, -0.08101341873407364, -0.005500122904777527, 0.007394466083496809, 0.06908547878265381, 0.04849819093942642, 0.022723929956555367, -0.03934070095419884, 0.02929908223450184, -0.00607310701161623, 0.032922547310590744, 0.06423690915107727]","{'movie_id': 97904, 'title': 'Smashed (2012)', 'imdb_id': 2063781, 'genres': 'Comedy|Drama'}"
98124,"[-0.008391456678509712, 0.004523965530097485, 0.03470265120267868, -0.0034431142266839743, 0.025822414085268974, 0.04477353021502495, -0.013646608218550682, -0.005989864468574524, -0.021796267479658127, -0.026104994118213654, -0.11335677653551102, 0.030947910621762276, -0.030986690893769264, -0.05485513433814049, 0.011849208734929562, -0.014419798739254475, -0.033140942454338074, 0.0028452291153371334, 0.023851098492741585, 0.030156603083014488, 0.03286819905042648, -0.015682151541113853, -0.041558198630809784, 0.04337295517325401, 0.06735493242740631, -0.05998288094997406, -0.053788237273693085, -0.007182922679930925, -0.012011613696813583, -0.06432925164699554, 0.006643559783697128, 0.050144463777542114]","{'movie_id': 98124, 'title': 'Batman: The Dark Knight Returns, Part 1 (2012)', 'imdb_id': 2313197, 'genres': 'Action|Animation|Sci-Fi'}"
98279,"[-0.07029601186513901, -0.08091182261705399, 0.017359264194965363, -0.008132490329444408, -0.0179507527500391, 0.023316992446780205, 0.07691571861505508, 0.053421489894390106, -0.009150613099336624, 0.03839671611785889, -0.038111861795186996, -0.06486470997333527, 0.04867597296833992, 0.012238094583153725, -0.09226159006357193, 0.021790025755763054, -0.019492020830512047, -0.08286776393651962, -0.037441227585077286, 0.016286619007587433, 0.010554375126957893, 0.05639319494366646, -0.07379759848117828, 0.053269028663635254, 0.04217551648616791, 0.06636833399534225, 0.020154986530542374, 0.027669042348861694, -0.06955192238092422, -0.014992691576480865, 0.07800616323947906, 0.06488829851150513]","{'movie_id': 98279, 'title': 'Fantastic Fear of Everything, A (2012)', 'imdb_id': 2006040, 'genres': 'Comedy'}"
98491,"[-0.015361337922513485, -0.011676859110593796, 0.007880689576268196, -0.0678987130522728, -0.010724886320531368, 0.017583291977643967, 0.013911552727222443, 0.053109314292669296, -0.022592654451727867, 0.026994694024324417, 0.05649756267666817, 0.013222894631326199, 0.015423829667270184, 0.025777973234653473, 0.01313608419150114, -0.01933230645954609, 0.015264110639691353, -0.04493439197540283, 0.05671399086713791, 0.07120619714260101, -0.00912175327539444, -0.04436459019780159, 0.03398580849170685, 0.011888829991221428, 0.05379850044846535, -0.10049105435609818, -0.05945342779159546, 0.018207451328635216, -0.02907196618616581, -0.09088301658630371, 0.004318419378250837, -0.06612339615821838]","{'movie_id': 98491, 'title': 'Paperman (2012)', 'imdb_id': 2388725, 'genres': 'Animation|Comedy|Romance'}"
99574,"[-0.01541569922119379, 0.025745512917637825, -0.028937187045812607, -0.0009667964768595994, -0.06657490134239197, -0.003843012498691678, -0.05923372507095337, -0.007689567282795906, -0.05815999209880829, 0.0684269368648529, 0.02142398990690708, 0.030071573331952095, 0.01759917661547661, 0.054118696600198746, -0.008387928828597069, 0.003800278762355447, 0.06398294121026993, -0.023897839710116386, -0.01652766950428486, -0.008337327279150486, -0.07998518645763397, -0.031296342611312866, -0.040497392416000366, -0.048480238765478134, 0.03165191039443016, 0.0013997905189171433, -0.011483345180749893, 0.01601693034172058, -0.021471429616212845, -0.014867936260998249, -0.018667493015527725, -0.02121664211153984]","{'movie_id': 99574, 'title': 'Promised Land (2012)', 'imdb_id': 2091473, 'genres': 'Drama'}"
99636,"[0.07782361656427383, -0.05435700714588165, -0.010285355150699615, -0.08741138130426407, 0.04697267711162567, -0.06076629459857941, 0.040803443640470505, -0.1026422306895256, -0.002191397361457348, -0.008736489340662956, -0.004711331333965063, -0.0924353152513504, 0.07793805003166199, -0.01620173640549183, 0.0005126636242493987, 0.0079800458624959, 0.031174730509519577, -0.031882304698228836, 0.07248804718255997, -0.060192156583070755, -0.040368806570768356, -0.0007307704072445631, -0.0703568160533905, 0.07996289432048798, -0.036943454295396805, 0.0026217708364129066, 0.024978917092084885, -0.028718149289488792, -0.01383386179804802, 0.012531762011349201, -0.03753691911697388, 0.017697447910904884]","{'movie_id': 99636, 'title': 'English Vinglish (2012)', 'imdb_id': 2181931, 'genres': 'Comedy|Drama'}"
99764,"[0.02645272947847843, 0.027820954099297523, 0.05630727857351303, 0.008848592638969421, -0.0031020650640130043, 0.10432691872119904, 0.06808748841285706, -0.01919756643474102, 0.048747435212135315, -0.06876399368047714, 0.034499771893024445, -0.009046006947755814, 0.0001506476546637714, 0.04629549756646156, -0.01712881028652191, -0.01717516779899597, -0.025335179641842842, 0.0947112962603569, -0.08007018268108368, 0.002529185963794589, -0.06787142157554626, -0.05117218941450119, 0.07705815136432648, -0.005662685260176659, -0.05930699035525322, -0.030409783124923706, -0.017834238708019257, -0.004742282908409834, 0.023714127019047737, 0.07633475214242935, -0.021527696400880814, 0.06425543874502182]","{'movie_id': 99764, 'title': ""It's Such a Beautiful Day (2012)"", 'imdb_id': 2396224, 'genres': 'Animation|Comedy|Drama|Fantasy|Sci-Fi'}"
99813,"[-0.07102089375257492, -0.05103171616792679, -0.049063730984926224, -0.07350167632102966, 0.03915756940841675, -0.019140347838401794, 0.002830994315445423, 0.0010707781184464693, -0.009711598977446556, 0.06961596757173538, 0.04956318810582161, 0.01506714429706335, -0.004099451471120119, -0.016901589930057526, 0.033154502511024475, 0.044538017362356186, 0.028339708223938942, 0.08773660659790039, -0.031137606129050255, -0.05424898862838745, 0.005334444809705019, -0.003305798629298806, 0.08886638283729553, 0.08836758881807327, 0.06663191318511963, -0.09492485970258713, 0.004485955461859703, -0.03500470519065857, -0.02661600150167942, 0.039101146161556244, 0.030389510095119476, 0.0033338272478431463]","{'movie_id': 99813, 'title': 'Batman: The Dark Knight Returns, Part 2 (2013)', 'imdb_id': 2166834, 'genres': 'Action|Animation'}"
99846,"[0.06393487006425858, -0.050017278641462326, 0.0005451980396173894, 0.025873208418488503, 0.03562866896390915, 0.0205118115991354, 0.03890204429626465, 0.009473987855017185, 0.02414015121757984, -0.0018766026478260756, -0.055024560540914536, 0.03171472251415253, -0.03916236758232117, 0.05993833765387535, 0.019620845094323158, 0.06012731045484543, 0.006999124772846699, -0.0019808087963610888, -0.0014762706123292446, 0.03918622061610222, -0.0463576503098011, 0.001798241282813251, -0.045929040759801865, 0.09089041501283646, 0.02645697072148323, -0.01160268671810627, -0.016508884727954865, 0.024989809840917587, -0.052380915731191635, -0.001018704380840063, -0.03296283632516861, -0.0917331650853157]","{'movie_id': 99846, 'title': 'Everything or Nothing: The Untold Story of 007 (2012)', 'imdb_id': 2366308, 'genres': 'Documentary'}"
99917,"[-0.05793583393096924, -0.018085069954395294, 0.0014785644598305225, 0.019288472831249237, 0.00047058978816494346, -0.02665497362613678, -0.019490156322717667, -0.06749783456325531, 0.022208385169506073, -0.07467591762542725, -0.03900618478655815, -0.016541613265872, -0.027835190296173096, 0.002739001763984561, -0.08990853279829025, -0.0775785744190216, 0.03376510366797447, 0.06277283281087875, -0.04010159894824028, -0.011569655500352383, -0.024835605174303055, 0.003971560392528772, 0.028440328314900398, 0.0025813435204327106, -0.03794403001666069, -0.02652854286134243, -0.0354110412299633, 0.018568623811006546, -0.006712538655847311, 0.04138798266649246, 0.014405314810574055, 0.03836781904101372]","{'movie_id': 99917, 'title': 'Upstream Color (2013)', 'imdb_id': 2084989, 'genres': 'Romance|Sci-Fi|Thriller'}"
100106,"[0.08331900089979172, -0.02978453040122986, 0.007566492073237896, 0.05383846536278725, -0.014947747811675072, -0.001792876049876213, 0.03199252113699913, -0.01443765964359045, 0.019968438893556595, 0.05584218353033066, -0.03475086763501167, 0.003569561056792736, 0.0566159188747406, 0.01751679740846157, 0.007549784146249294, 0.0854407250881195, -0.028702393174171448, 0.03511122614145279, -0.0564919114112854, -0.030919251963496208, 0.0811108723282814, -0.02956020087003708, 0.005572765599936247, -0.0416426807641983, -0.0030172057449817657, 0.04530080780386925, 0.028478985652327538, -0.020335707813501358, 0.07712431997060776, -0.013639098033308983, -0.05188962444663048, -0.07562718540430069]","{'movie_id': 100106, 'title': ""Pervert's Guide to Ideology, The (2012)"", 'imdb_id': 2152198, 'genres': 'Documentary'}"
100159,"[0.0711289793252945, -0.030102567747235298, -0.045333366841077805, -0.09341908991336823, 0.09056387841701508, -0.0570276640355587, 0.037650980055332184, 0.036039210855960846, -0.0855971947312355, -0.015493986196815968, 0.02220555767416954, -0.0200631283223629, 0.05011811852455139, -0.047389041632413864, 0.06578671187162399, 0.04296955466270447, 0.054664772003889084, 0.021366950124502182, 0.04207998886704445, 0.011514902114868164, -0.06940089166164398, -0.061488986015319824, -0.03125976771116257, 0.07092594355344772, 0.00619570491835475, 0.03897777944803238, -0.010918830521404743, -0.0186836626380682, 0.06639854609966278, 0.030816974118351936, 0.024979302659630775, 0.03804911673069]","{'movie_id': 100159, 'title': 'Sightseers (2012)', 'imdb_id': 2023690, 'genres': 'Comedy'}"
100194,"[0.026279542595148087, 0.01519062090665102, 0.023473581299185753, -0.012217099778354168, 0.004363012500107288, -0.03428500145673752, 0.07537166774272919, 0.017506243661046028, -0.0871834084391594, 0.041692063212394714, -0.01763412542641163, 0.03766965866088867, -0.05547865480184555, -0.06533065438270569, -0.06033473089337349, -0.02490980736911297, 0.04311239346861839, 0.0006349686882458627, -0.04120096564292908, -0.024915823712944984, 0.07395365089178085, 0.0563422329723835, -0.06405972689390182, 0.02160678245127201, 0.01129965391010046, -0.051689647138118744, 0.029867608100175858, 0.016781112179160118, 0.010405033826828003, -0.05871906504034996, 0.05407015234231949, 0.004955504089593887]","{'movie_id': 100194, 'title': 'Jim Jefferies: Fully Functional (EPIX) (2012)', 'imdb_id': 2274356, 'genres': 'Comedy'}"
100277,"[0.03433440625667572, -0.06113959103822708, 0.028108548372983932, 0.02843429334461689, 0.03094872646033764, -0.022611472755670547, -0.024374790489673615, -0.04494507983326912, 0.03344639018177986, 0.02574090100824833, 0.027608796954154968, -0.05940144881606102, -0.0013895333977416158, 0.06732828915119171, 0.011581567116081715, 0.07618524134159088, -0.019757308065891266, 0.0747203379869461, 0.01191056426614523, 0.08546870946884155, 0.08497956395149231, 0.01956823095679283, -0.001109075266867876, 0.05541660264134407, -0.05290502309799194, -0.04464755952358246, 0.022523310035467148, 0.005687321070581675, 0.041059449315071106, 0.005538226570934057, -0.04424576461315155, 0.07002135366201401]","{'movie_id': 100277, 'title': 'Tabu (2012)', 'imdb_id': 2153963, 'genres': 'Drama|Romance'}"
100304,"[0.001660758862271905, 0.010458447970449924, -0.06083502247929573, -0.028274109587073326, 0.016966193914413452, -0.0330832414329052, 0.07541464269161224, 0.002623360138386488, 0.06969021260738373, -0.05485113710165024, -0.028754670172929764, -0.0032472028397023678, -0.005678126588463783, -0.0059556011110544205, 0.038409993052482605, -0.0569281131029129, 0.02707125060260296, -0.022222276777029037, -0.02495979331433773, -0.037419646978378296, -0.05280010774731636, -0.007731565274298191, -0.05842432379722595, -0.00040042438195087016, 0.03434396907687187, 0.012191563844680786, -0.051001522690057755, -0.0300982017070055, 0.04377750679850578, -0.037843991070985794, -0.00018034240929409862, 0.005349345039576292]","{'movie_id': 100304, 'title': 'Liability, The (2012)', 'imdb_id': 2081437, 'genres': 'Action|Thriller'}"
100383,"[-0.08441485464572906, -0.0047823586501181126, 0.005120500456541777, -0.05466414988040924, 0.03054487705230713, -0.005317270755767822, 0.026754338294267654, -0.08533411473035812, -0.09786824136972427, -0.009276075288653374, -0.011733685620129108, 0.012891312129795551, 0.06227363273501396, 0.06462625414133072, 0.0779654011130333, 0.048440780490636826, 0.014336559921503067, 0.010209532454609871, -0.014960957691073418, 0.11071976274251938, 0.022032443434000015, -0.046427447348833084, 0.011817567050457, -0.01721658557653427, 0.014467323198914528, -0.06432504951953888, 0.06043022871017456, 0.007077384740114212, -0.028688505291938782, 0.02906470000743866, 0.06690968573093414, 0.02835025079548359]","{'movie_id': 100383, 'title': 'Side Effects (2013)', 'imdb_id': 2053463, 'genres': 'Crime|Drama|Mystery|Thriller'}"
100390,"[0.007547704968601465, -0.08090265095233917, 0.08729264885187149, 0.009287997148931026, -0.024707576259970665, 0.09998703747987747, -0.025773098692297935, 0.011644745245575905, 0.03753872960805893, 0.030615434050559998, -0.030216986313462257, 0.004053508397191763, 0.046138495206832886, -0.03746936097741127, -0.06209560111165047, -0.010328941978514194, -0.027409657835960388, -0.030024586245417595, 0.05005119740962982, -0.0029607887845486403, -0.0722733661532402, 0.09394263476133347, 0.04599441960453987, 0.03150855004787445, -0.01786956936120987, 0.008900699205696583, 0.012239567004144192, 0.019160466268658638, 0.04729609936475754, -0.022593121975660324, -0.08024849742650986, 0.003692229278385639]","{'movie_id': 100390, 'title': 'Identity Thief (2013)', 'imdb_id': 2024432, 'genres': 'Comedy|Crime'}"
